isic_id,CI_name
ISIC_0051799,CI_15294814
ISIC_0081584,CI_14544399
ISIC_0082704,CI_10174464
ISIC_0084117,CI_10181200
ISIC_0101540,CI_09021053
ISIC_0103730,CI_11542230
ISIC_0104911,CI_10391681
ISIC_0112457,CI_11475458
ISIC_0118792,CI_15320327
ISIC_0119296,CI_10093901
ISIC_0126191,CI_10042231
ISIC_0135990,CI_13423978
ISIC_0136396,CI_15163588
ISIC_0140720,CI_11451876
ISIC_0148118,CI_15182029
ISIC_0178317,CI_09303284
ISIC_0186998,CI_16425223
ISIC_0188232,CI_11185239
ISIC_0191276,CI_11333953
ISIC_0198315,CI_10103887
ISIC_0205337,CI_12254270
ISIC_0218137,CI_11404611
ISIC_0222050,CI_09355724
ISIC_0223461,CI_09275434
ISIC_0224332,CI_12473737
ISIC_0235971,CI_12464392
ISIC_0245720,CI_09554022
ISIC_0249688,CI_16350544
ISIC_0259780,CI_13064691
ISIC_0265494,CI_09255952
ISIC_0280376,CI_10300328
ISIC_0289271,CI_10324118
ISIC_0290144,CI_16132279
ISIC_0295083,CI_10494736
ISIC_0307984,CI_15130123
ISIC_0310134,CI_08564207
ISIC_0314083,CI_09111826
ISIC_0322660,CI_11295008
ISIC_0327790,CI_10000408
ISIC_0353247,CI_15475142
ISIC_0357905,CI_09530697
ISIC_0371997,CI_14325731
ISIC_0376071,CI_09241566
ISIC_0399142,CI_13454829
ISIC_0401647,CI_16220321
ISIC_0416709,CI_09401521
ISIC_0423655,CI_14241952
ISIC_0428084,CI_13472432
ISIC_0429825,CI_13594804
ISIC_0437036,CI_10220545
ISIC_0443195,CI_11350031
ISIC_0444602,CI_08571363
ISIC_0446437,CI_13505244
ISIC_0453394,CI_14494108
ISIC_0457683,CI_14482832
ISIC_0464707,CI_13291928
ISIC_0468002,CI_16552972
ISIC_0470037,CI_08422972
ISIC_0472351,CI_11510188
ISIC_0473709,CI_11270444
ISIC_0478979,CI_11314601
ISIC_0483530,CI_14293057
ISIC_0489982,CI_12040096
ISIC_0494909,CI_11020711
ISIC_0501108,CI_14523799
ISIC_0511862,CI_14100808
ISIC_0514777,CI_16294403
ISIC_0517084,CI_14451865
ISIC_0520674,CI_09050018
ISIC_0525932,CI_16155871
ISIC_0536439,CI_09181383
ISIC_0545679,CI_14155373
ISIC_0552701,CI_15165507
ISIC_0555938,CI_15232018
ISIC_0557560,CI_08563286
ISIC_0565639,CI_15220525
ISIC_0567265,CI_15515703
ISIC_0587266,CI_16193179
ISIC_0591484,CI_15555346
ISIC_0592761,CI_15250832
ISIC_0593159,CI_16264930
ISIC_0597218,CI_07450164
ISIC_0601638,CI_10561832
ISIC_0602893,CI_16405568
ISIC_0604571,CI_12111292
ISIC_0605858,CI_09444848
ISIC_0612638,CI_11175879
ISIC_0632983,CI_10211966
ISIC_0645477,CI_15352794
ISIC_0651512,CI_16151284
ISIC_0663387,CI_16085874
ISIC_0668612,CI_10301889
ISIC_0669355,CI_14515665
ISIC_0673811,CI_09165299
ISIC_0690744,CI_16424628
ISIC_0702665,CI_10085311
ISIC_0706692,CI_10161547
ISIC_0709809,CI_15370093
ISIC_0717152,CI_11270620
ISIC_0737161,CI_14414123
ISIC_0749853,CI_08560263
ISIC_0760717,CI_14414263
ISIC_0767110,CI_14390184
ISIC_0777975,CI_14272773
ISIC_0783513,CI_09203206
ISIC_0786784,CI_13072677
ISIC_0799487,CI_16240960
ISIC_0839447,CI_09172825
ISIC_0855174,CI_12595035
ISIC_0862350,CI_15512955
ISIC_0865706,CI_10205915
ISIC_0868067,CI_12200100
ISIC_0875614,CI_16224302
ISIC_0890978,CI_17000817
ISIC_0903411,CI_08295467
ISIC_0905367,CI_14540490
ISIC_0916205,CI_07515404
ISIC_0925325,CI_16361757
ISIC_0933158,CI_13135958
ISIC_0939958,CI_11325961
ISIC_0962121,CI_12090070
ISIC_0972869,CI_13503443
ISIC_0990298,CI_09351037
ISIC_0992261,CI_16181468
ISIC_0998962,CI_15022879
ISIC_1001430,CI_16154504
ISIC_1003059,CI_10244320
ISIC_1027132,CI_10271271
ISIC_1028374,CI_16183031
ISIC_1040820,CI_14163707
ISIC_1071783,CI_13242438
ISIC_1085658,CI_10120529
ISIC_1089173,CI_12270129
ISIC_1099075,CI_08240455
ISIC_1099767,CI_14090000
ISIC_1111109,CI_11383080
ISIC_1126550,CI_15574673
ISIC_1142182,CI_14364887
ISIC_1146051,CI_16324262
ISIC_1160972,CI_16424714
ISIC_1176074,CI_13474171
ISIC_1205301,CI_10565123
ISIC_1206086,CI_09281051
ISIC_1208163,CI_09505654
ISIC_1212149,CI_09375681
ISIC_1214018,CI_11280654
ISIC_1214159,CI_10285197
ISIC_1217200,CI_08353862
ISIC_1241834,CI_10450488
ISIC_1253099,CI_09503088
ISIC_1257579,CI_13332499
ISIC_1259169,CI_14264801
ISIC_1277350,CI_14312530
ISIC_1284958,CI_15564043
ISIC_1298339,CI_15361425
ISIC_1305755,CI_09592950
ISIC_1327512,CI_09504722
ISIC_1328709,CI_09202176
ISIC_1330439,CI_15235369
ISIC_1330850,CI_16271169
ISIC_1332092,CI_09001795
ISIC_1338061,CI_10385544
ISIC_1343302,CI_11520864
ISIC_1357686,CI_11074365
ISIC_1359589,CI_10523228
ISIC_1364900,CI_11162241
ISIC_1365352,CI_13415606
ISIC_1372928,CI_11375722
ISIC_1384793,CI_16033240
ISIC_1406759,CI_17003364
ISIC_1411589,CI_11064083
ISIC_1421963,CI_14041286
ISIC_1426969,CI_10112516
ISIC_1429504,CI_12520702
ISIC_1431969,CI_14101223
